"date","zeit_berlin","slot","title","url","category","anlass","quellen","bilddatei","bild_alt_text","linkedin_status","commit","deploy_status","live_pruefung","topic_id","publication_id"
"2026-08-08","06:31","morgens","Erstbesichtigung und Sofortmaßnahmen: Strukturiertes Vorgehen im Schadenerstereignis","https://www.sv-netzwerk.eu/fachwissen/erstbesichtigung-sofortmassnahmen-struktur-vorgehen/","Erstbesichtigung und Sofortmaßnahmen","allgemeines Fachthema (kein belastbarer Regionalanlass)","Kein belastbarer aktueller Regionalanlass im Suchraum; daher allgemeiner Fachbeitrag gemäß Wochenend-/Fallback-Regel.","/assets/images/linkedin/erstbesichtigung-sofortmassnahmen-struktur-vorgehen.svg","Symbolbild: Erstbesichtigung und Sofortmaßnahmen im Kontext der Schadenregulierung und Kumulschadensteuerung","skipped","pending","failed","failed","erstbesichtigung-sofortmassnahmen","2026-08-08-morning-f1367a37ae"
"2026-08-01","15:58","morgens","Brandschaden mit mehreren betroffenen Gebäuden: Struktur für Erstaufnahme und Regulierung","https://www.sv-netzwerk.eu/fachwissen/brandschaden-mehrere-gebaeude-koordination/","Brandschaden","allgemeines Fachthema (kein belastbarer Regionalanlass)","Kein belastbarer aktueller Regionalanlass im Suchraum; daher allgemeiner Fachbeitrag gemäß Wochenend-/Fallback-Regel.","/assets/images/linkedin/brandschaden-mehrere-gebaeude-koordination.svg","Symbolbild: Brandschaden im Kontext der Schadenregulierung und Kumulschadensteuerung","skipped","pending","failed","failed","brandschaden-mehrere-gebaeude","2026-08-01-morning-3de4ec41ff"
"2026-08-08","17:26","nachmittags","Schneedruck und Winterschäden: Dächer fachlich prüfen, Risiken sauber abgrenzen","https://www.sv-netzwerk.eu/fachwissen/schneedruck-winterschaeden-bewertung-regulierung/","Schneedruck und Winterschäden","veröffentlichter Pilotbeitrag","BBK Schneelast; DGUV Information 212-002; DIN EN 1991-1-3/NA:2019-04; VVG § 82; VVG § 86","keine öffentliche Bilddatei","ohne Beitragsbild veröffentlicht","not-applicable","pending","published","pending-live-check","schneedruck-winterschaeden","2026-08-08-pilot-release"
"2026-08-02","historischer-backfill","backfill","Frostbedingte Leitungswasserschäden: Rohrbruch, Auftauen und Vorschäden fachlich abgrenzen","https://www.sv-netzwerk.eu/fachwissen/frostbedingte-leitungswasserschaeden-rohrbruch-abgrenzung/","Leitungswasser","historischer Fach-Backfill als allgemeiner praxisbezogener Fachbeitrag ohne erfundenen Regionalanlass","VVG § 82 (gesetze-im-internet.de) | Trinkwasserverordnung § 13 (gesetze-im-internet.de) | DVGW: Trinkwasserinstallation in Gebäuden","keine öffentliche Bilddatei","ohne Beitragsbild veröffentlicht","prepared-not-posted","110aa219d510f4100f63ea7d22411f33cd3427cf","success","success","frost-leitungswasser-backfill","2026-08-02-backfill-frost-leitungswasser"
"2026-08-03","historischer-backfill","backfill","Starkregen und Rückstau: Eintrittswege, Rückstauebene und Schadenbereiche sauber trennen","https://www.sv-netzwerk.eu/fachwissen/starkregen-rueckstau-eintrittswege-rueckstauebene-schadenbereiche/","Starkregen und Rückstau","historischer Fach-Backfill als allgemeiner praxisbezogener Fachbeitrag ohne erfundenen Regionalanlass","VVG § 82 (gesetze-im-internet.de) | DIN EN 12056-1:2001-01 | DIN EN 12056-4:2001-01 | DIN 1986-100:2016-12 | BBSR: Starkregen und urbane Sturzfluten | Umweltbundesamt: Überflutungen und Starkregen","keine öffentliche Bilddatei","ohne Beitragsbild veröffentlicht","prepared-not-posted","pending","pending","pending","starkregen-rueckstau-backfill","2026-08-03-backfill-starkregen-rueckstau"
"2026-08-04","historischer-backfill","backfill","Technische Trocknung nach Leitungswasserschäden: Messkonzept, Rückbau und Erfolgskontrolle","https://www.sv-netzwerk.eu/fachwissen/technische-trocknung-leitungswasserschaeden-messkonzept-rueckbau-erfolgskontrolle/","Leitungswasser","historischer Fach-Backfill als allgemeiner praxisbezogener Fachbeitrag ohne erfundenen Regionalanlass","VVG § 82 (gesetze-im-internet.de) | WTA-Merkblatt 6-15 | DIN EN 13183-2:2002-07 | Umweltbundesamt: Schimmel im Haus | UBA-Leitfaden zur Ursachensuche und Sanierung bei Schimmelpilzwachstum in Innenräumen","keine öffentliche Bilddatei","ohne Beitragsbild veröffentlicht","prepared-not-posted","pending","pending","pending","trocknung-leitungswasser-backfill","2026-08-04-backfill-trocknung"
"2026-08-05","historischer-backfill","backfill","Hagelschäden an Dach und Fassade: Schadenspuren, Vorschäden und Reparaturfähigkeit sauber bewerten","https://www.sv-netzwerk.eu/fachwissen/hagelschaden-dach-fassade-schadenspuren-vorschaden-reparaturfaehigkeit/","Hagel und Sturm","historischer Fach-Backfill als allgemeiner praxisbezogener Fachbeitrag ohne erfundenen Regionalanlass","VVG § 82 (gesetze-im-internet.de) | DIN EN 1991-1-4 | ZVDH-Regelwerk für Dachdeckungen und Dachabdichtungen | ift Rosenheim: Hinweise zur Beurteilung von Hagelschäden an Bauteilen der Gebäudehülle","keine öffentliche Bilddatei","ohne Beitragsbild veröffentlicht","prepared-not-posted","pending","pending","pending","hagel-dach-fassade-backfill","2026-08-05-backfill-hagel"
"2026-08-06","historischer-backfill","backfill","Brandschäden durch Rauch und Ruß: Kontamination, Schadenbereiche und Sanierungsumfang fachlich abgrenzen","https://www.sv-netzwerk.eu/fachwissen/brandschaden-rauch-russ-kontamination-schadenbereiche-sanierungsumfang/","Brand und Kontamination","historischer Fach-Backfill als allgemeiner praxisbezogener Fachbeitrag ohne erfundenen Regionalanlass","VVG § 82 (gesetze-im-internet.de) | DGUV: Gefahrstoffe | VdS 2357 | VDI 3810 Blatt 2","keine öffentliche Bilddatei","ohne Beitragsbild veröffentlicht","prepared-not-posted","pending","pending","pending","brand-kontamination-backfill","2026-08-06-backfill-brand-kontamination"
"2026-08-07","historischer-backfill","backfill","Tornadoereignisse und lokale Sturmereignisse: Schadenaufnahme und technische Einordnung","https://www.sv-netzwerk.eu/fachwissen/tornado-lokale-sturmereignisse-schadenaufnahme/","Tornadoereignisse und lokale Sturmschäden","historischer Fach-Backfill als allgemeiner praxisbezogener Fachbeitrag ohne erfundenen Regionalanlass","VVG § 82 (gesetze-im-internet.de) | DIN EN 1991-1-4/NA | ZVDH-Regelwerk für Dachdeckungen und Dachabdichtungen | BBK: Naturgefahren und baulicher Bevölkerungsschutz","keine öffentliche Bilddatei","ohne Beitragsbild veröffentlicht","skipped","pending","failed","failed","tornado-lokale-sturmereignisse","2026-08-07-backfill-tornado"
"2026-08-11","08:27","morgens","Starkregen und Rückstau: Schadenaufnahme und Regulierung im Kumulereignis – fachliche Einordnung zur aktuellen Lage","https://www.sv-netzwerk.eu/fachwissen/starkregen-rueckstau-schadenaufnahme-regulierung/","Starkregen und Rückstau","regionaler Anlass: 364 - BR6 - Dachstuhlbrand - Ziegelgasse - Innenstadt - Stadt Schwäbisch Gmünd","Stadt Schwäbisch Gmünd: 364 - BR6 - Dachstuhlbrand - Ziegelgasse - Innenstadt - Stadt Schwäbisch Gmünd (https://news.google.com/rss/articles/CBMisAFBVV95cUxOQmtzdGNiOV9LeVBwcDR4WWR2c2lOcm9DdjBLRzFTTFU1eHR4a2s3YndjZmpENU44MEFUWkZFQVRwSWE4MmpndzdrVXdCQWpuVkw5SlN4N2FweGcxekxCVUxOcTA1WkJmSENtclNpd081bWY1N1pHV3dabUs1MXpQWDJrX1BqWHdCSVVHUThmYjNuNDN0RVR4T1M5V2hYUngxQThrM2p1aW5pM2duaWkxLQ?oc=5)","/assets/images/linkedin/starkregen-rueckstau-schadenaufnahme-regulierung.svg","Symbolbild: Starkregen und Rückstau im Kontext der Schadenregulierung und Kumulschadensteuerung","skipped","pending","failed","failed","starkregen-rueckstau","2026-08-11-morning-e318c417f2"
"2026-08-11","08:31","morgens","Starkregen und Rückstau: Schadenaufnahme und Regulierung im Kumulereignis – fachliche Einordnung zur aktuellen Lage","https://www.sv-netzwerk.eu/fachwissen/starkregen-rueckstau-schadenaufnahme-regulierung/","Starkregen und Rückstau","regionaler Anlass: 364 - BR6 - Dachstuhlbrand - Ziegelgasse - Innenstadt - Stadt Schwäbisch Gmünd","Stadt Schwäbisch Gmünd: 364 - BR6 - Dachstuhlbrand - Ziegelgasse - Innenstadt - Stadt Schwäbisch Gmünd (https://news.google.com/rss/articles/CBMisAFBVV95cUxOQmtzdGNiOV9LeVBwcDR4WWR2c2lOcm9DdjBLRzFTTFU1eHR4a2s3YndjZmpENU44MEFUWkZFQVRwSWE4MmpndzdrVXdCQWpuVkw5SlN4N2FweGcxekxCVUxOcTA1WkJmSENtclNpd081bWY1N1pHV3dabUs1MXpQWDJrX1BqWHdCSVVHUThmYjNuNDN0RVR4T1M5V2hYUngxQThrM2p1aW5pM2duaWkxLQ?oc=5)","/assets/images/linkedin/starkregen-rueckstau-schadenaufnahme-regulierung.svg","Symbolbild: Starkregen und Rückstau im Kontext der Schadenregulierung und Kumulschadensteuerung","pending","pending","pending","pending","starkregen-rueckstau","2026-08-11-morning-e318c417f2"
"2026-08-11","08:35","morgens","Starkregen und Rückstau: Schadenaufnahme und Regulierung im Kumulereignis – fachliche Einordnung zur aktuellen Lage","https://www.sv-netzwerk.eu/fachwissen/starkregen-rueckstau-schadenaufnahme-regulierung/","Starkregen und Rückstau","regionaler Anlass: 364 - BR6 - Dachstuhlbrand - Ziegelgasse - Innenstadt - Stadt Schwäbisch Gmünd","Stadt Schwäbisch Gmünd: 364 - BR6 - Dachstuhlbrand - Ziegelgasse - Innenstadt - Stadt Schwäbisch Gmünd (https://news.google.com/rss/articles/CBMisAFBVV95cUxOQmtzdGNiOV9LeVBwcDR4WWR2c2lOcm9DdjBLRzFTTFU1eHR4a2s3YndjZmpENU44MEFUWkZFQVRwSWE4MmpndzdrVXdCQWpuVkw5SlN4N2FweGcxekxCVUxOcTA1WkJmSENtclNpd081bWY1N1pHV3dabUs1MXpQWDJrX1BqWHdCSVVHUThmYjNuNDN0RVR4T1M5V2hYUngxQThrM2p1aW5pM2duaWkxLQ?oc=5)","/assets/images/linkedin/starkregen-rueckstau-schadenaufnahme-regulierung.svg","Symbolbild: Starkregen und Rückstau im Kontext der Schadenregulierung und Kumulschadensteuerung","pending","pending","pending","pending","starkregen-rueckstau","2026-08-11-morning-e318c417f2"
"2026-08-11","08:37","morgens","Starkregen und Rückstau: Schadenaufnahme und Regulierung im Kumulereignis – fachliche Einordnung zur aktuellen Lage","https://www.sv-netzwerk.eu/fachwissen/starkregen-rueckstau-schadenaufnahme-regulierung/","Starkregen und Rückstau","regionaler Anlass: 364 - BR6 - Dachstuhlbrand - Ziegelgasse - Innenstadt - Stadt Schwäbisch Gmünd","Stadt Schwäbisch Gmünd: 364 - BR6 - Dachstuhlbrand - Ziegelgasse - Innenstadt - Stadt Schwäbisch Gmünd (https://news.google.com/rss/articles/CBMisAFBVV95cUxOQmtzdGNiOV9LeVBwcDR4WWR2c2lOcm9DdjBLRzFTTFU1eHR4a2s3YndjZmpENU44MEFUWkZFQVRwSWE4MmpndzdrVXdCQWpuVkw5SlN4N2FweGcxekxCVUxOcTA1WkJmSENtclNpd081bWY1N1pHV3dabUs1MXpQWDJrX1BqWHdCSVVHUThmYjNuNDN0RVR4T1M5V2hYUngxQThrM2p1aW5pM2duaWkxLQ?oc=5)","/assets/images/linkedin/starkregen-rueckstau-schadenaufnahme-regulierung.svg","Symbolbild: Starkregen und Rückstau im Kontext der Schadenregulierung und Kumulschadensteuerung","pending","pending","pending","pending","starkregen-rueckstau","2026-08-11-morning-e318c417f2"
"2026-08-11","17:17","nachmittags","Kumulschäden nach Hochwasser und Überflutung: Priorisierung und strukturierte Regulierung","https://www.sv-netzwerk.eu/fachwissen/kumulschaeden-hochwasser-ueberflutung-priorisierung-regulierung/","Hochwasser und Überflutung","allgemeines Fachthema (kein belastbarer Regionalanlass)","Kein belastbarer aktueller Regionalanlass im Suchraum; daher allgemeiner Fachbeitrag gemäß Wochenend-/Fallback-Regel.","/assets/images/linkedin/kumulschaeden-hochwasser-ueberflutung-priorisierung-regulierung.svg","Symbolbild: Hochwasser und Überflutung im Kontext der Schadenregulierung und Kumulschadensteuerung","skipped","pending","failed","failed","hochwasser-kumulschadenmanagement","2026-08-11-afternoon-aa2d26d3bc"
"2026-08-11","08:11","morgens","Starkregen und Rückstau: Schadenaufnahme und Regulierung im Kumulereignis – fachliche Einordnung zur aktuellen Lage","https://www.sv-netzwerk.eu/fachwissen/starkregen-rueckstau-schadenaufnahme-regulierung/","Starkregen und Rückstau","allgemeines Fachthema (kein belastbarer Regionalanlass)","Kein belastbarer aktueller Regionalanlass im Suchraum; daher allgemeiner Fachbeitrag gemäß Wochenend-/Fallback-Regel.","/assets/images/linkedin/starkregen-rueckstau-schadenaufnahme-regulierung.svg","Symbolbild: Starkregen und Rückstau im Kontext der Schadenregulierung und Kumulschadensteuerung","pending","pending","pending","pending","starkregen-rueckstau","2026-08-11-morning-e318c417f2"
"2026-08-12","09:13","morgens","Kumulschäden nach Sturm und Hagel: Belastbare Prüffolge für die Regulierungspraxis (2)","https://www.sv-netzwerk.eu/fachwissen/kumulschaeden-sturm-hagel-prueffolge-regulierung/","Sturm- und Hagelschäden","allgemeines Fachthema (kein belastbarer Regionalanlass)","Kein belastbarer aktueller Regionalanlass im Suchraum; daher allgemeiner Fachbeitrag gemäß Wochenend-/Fallback-Regel.","/assets/images/linkedin/kumulschaeden-sturm-hagel-prueffolge-regulierung.svg","Symbolbild: Sturm- und Hagelschäden im Kontext der Schadenregulierung und Kumulschadensteuerung","pending","pending","pending","pending","sturm-hagel-serienschaeden","2026-08-12-morning-4daacc63a1"
"2026-08-17","19:30","fachbeitrag","Photovoltaikfragmente nach Gebäudebrand: Flächenverunreinigung, Haftung und Deckung bei Landwirtschaft und Gewerbe","https://www.sv-netzwerk.eu/fachwissen/photovoltaikfragmente-brand-landwirtschaft-gewerbehaftpflicht-fremddach/","Brand und Kontamination","allgemeiner praxisbezogener Fachbeitrag","UBA Photovoltaik | Fraunhofer ISE PV-Brandschutz | DGUV 205-018 | GDV AVB BHV und LuF | BGB §§ 823, 836, 838, 1004 | VVG §§ 82, 86 | BBodSchG | USchadG | EEG § 3","keine öffentliche Bilddatei","ohne Beitragsbild veröffentlicht","prepared-not-posted","pending","pending","pending-live-check","pv-fragmentflug-brand-fremddach","2026-08-17-pv-fragmentflug"
