Gebäude;Etage;Raumnummer;Name;Nutzung;Bemerkung
Konferenzzentrum;1. Obergeschoss;KON-203;Flur 3;Verkehrsfläche;
Konferenzzentrum;1. Obergeschoss;KON-204;Büro (Doppel) 4;Büro;
Konferenzzentrum;1. Obergeschoss;KON-205;Großraumbüro 5;Büro;
Konferenzzentrum;1. Obergeschoss;KON-206;Besprechungsraum 6;Besprechung;
Konferenzzentrum;1. Obergeschoss;KON-207;WC Damen 7;Sanitär;
Konferenzzentrum;1. Obergeschoss;KON-208;Büro (Einzel) 8;Büro;
Technisches Zentrum;Untergeschoss;TZ-001;Flur;Verkehrsfläche;
Technisches Zentrum;Untergeschoss;TZ-002;Büro (Doppel) 2;Büro;
Technisches Zentrum;Untergeschoss;TZ-003;Lager 3;Lager;
Technisches Zentrum;Untergeschoss;TZ-004;Treppenhaus 4;Verkehrsfläche;
Technisches Zentrum;Untergeschoss;TZ-005;Büro (Einzel) 5;Büro;
Technisches Zentrum;Untergeschoss;TZ-006;Archiv 6;Lager;
Technisches Zentrum;Untergeschoss;TZ-007;Großraumbüro 7;Büro;
Technisches Zentrum;Untergeschoss;TZ-008;Technikraum 8;Technik;
Technisches Zentrum;Untergeschoss;TZ-009;Flur 9;Verkehrsfläche;
Technisches Zentrum;Untergeschoss;TZ-010;Büro (Doppel) 10;Büro;
Technisches Zentrum;Erdgeschoss;TZ-101;Archiv;Lager;
Technisches Zentrum;Erdgeschoss;TZ-102;Technikraum 2;Technik;Denkmalgeschützt
Technisches Zentrum;Erdgeschoss;TZ-103;Werkstatt 3;Technik;
Technisches Zentrum;Erdgeschoss;TZ-104;Büro (Einzel) 4;Büro;
Technisches Zentrum;Erdgeschoss;TZ-105;Büro (Doppel) 5;Büro;
Technisches Zentrum;Erdgeschoss;TZ-106;Großraumbüro 6;Büro;
Technisches Zentrum;Erdgeschoss;TZ-107;Flur 7;Verkehrsfläche;
Technisches Zentrum;Erdgeschoss;TZ-108;Lager 8;Lager;
Technisches Zentrum;Erdgeschoss;TZ-109;Archiv 9;Lager;
Technisches Zentrum;Erdgeschoss;TZ-110;Technikraum 10;Technik;
Technisches Zentrum;Erdgeschoss;TZ-111;Werkstatt 11;Technik;
Technisches Zentrum;Erdgeschoss;TZ-112;Büro (Einzel) 12;Büro;
Technisches Zentrum;1. Obergeschoss;TZ-201;Büro (Doppel);Büro;
Technisches Zentrum;1. Obergeschoss;TZ-202;Treppenhaus 2;Verkehrsfläche;
Technisches Zentrum;1. Obergeschoss;TZ-203;Lager 3;Lager;
Technisches Zentrum;1. Obergeschoss;TZ-204;Werkstatt 4;Technik;
Technisches Zentrum;1. Obergeschoss;TZ-205;Serverraum 5;Technik;
Technisches Zentrum;1. Obergeschoss;TZ-206;Archiv 6;Lager;
Technisches Zentrum;1. Obergeschoss;TZ-207;Großraumbüro 7;Büro;
Technisches Zentrum;1. Obergeschoss;TZ-208;Flur 8;Verkehrsfläche;Schlüssel beim Hausmeister
Technisches Zentrum;1. Obergeschoss;TZ-204;Büro (Doppel) 9;Büro;
Technisches Zentrum;1. Obergeschoss;TZ-210;Treppenhaus 10;Verkehrsfläche;
Technisches Zentrum;1. Obergeschoss;TZ-211;Lager 11;Lager;
Technisches Zentrum;1. Obergeschoss;TZ-212;Werkstatt 12;Technik;
Technisches Zentrum;2. Obergeschoss;TZ-301;Flur;Verkehrsfläche;
Technisches Zentrum;2. Obergeschoss;TZ-302;Archiv 2;Lager;
Technisches Zentrum;2. Obergeschoss;TZ-303;Büro (Doppel) 3;Büro;
Technisches Zentrum;2. Obergeschoss;TZ-304;Treppenhaus 4;Verkehrsfläche;
Technisches Zentrum;2. Obergeschoss;TZ-305;Werkstatt 5;Technik;
Technisches Zentrum;2. Obergeschoss;TZ-306;Technikraum 6;Technik;
Technisches Zentrum;2. Obergeschoss;TZ-307;Büro (Einzel) 7;Büro;
Technisches Zentrum;2. Obergeschoss;TZ-308;Großraumbüro 8;Büro;
Technisches Zentrum;2. Obergeschoss;TZ-309;Flur 9;Verkehrsfläche;
Technisches Zentrum;2. Obergeschoss;TZ-310;Archiv 10;Lager;
Technisches Zentrum;3. Obergeschoss;TZ-401;Büro (Einzel);Büro;
Technisches Zentrum;3. Obergeschoss;TZ-402;Büro (Doppel) 2;Büro;
Technisches Zentrum;3. Obergeschoss;TZ-403;Technikraum 3;Technik;Denkmalgeschützt
Technisches Zentrum;3. Obergeschoss;TZ-404;Werkstatt 4;Technik;
Technisches Zentrum;3. Obergeschoss;TZ-405;Flur 5;Verkehrsfläche;
Technisches Zentrum;3. Obergeschoss;TZ-406;Lager 6;Lager;
Technisches Zentrum;3. Obergeschoss;TZ-407;Serverraum 7;Technik;
Technisches Zentrum;3. Obergeschoss;TZ-408;Archiv 8;Lager;
Technisches Zentrum;4. Obergeschoss;TZ-501;Flur;Verkehrsfläche;Schlüssel beim Hausmeister
Technisches Zentrum;4. Obergeschoss;TZ-502;Lager 2;Lager;
Technisches Zentrum;4. Obergeschoss;TZ-503;Technikraum 3;Technik;
Technisches Zentrum;4. Obergeschoss;TZ-504;Büro (Einzel) 4;Büro;Renovierung geplant Q3/2026
Technisches Zentrum;4. Obergeschoss;TZ-505;Archiv 5;Lager;
Technisches Zentrum;4. Obergeschoss;TZ-506;Werkstatt 6;Technik;
Nebengebäude West;Untergeschoss;NGW-001;Lager;Lager;
Nebengebäude West;Untergeschoss;NGW-002;Treppenhaus 2;Verkehrsfläche;
Nebengebäude West;Untergeschoss;NGW-003;Archiv 3;Lager;Zutritt nur mit Begleitung
Nebengebäude West;Untergeschoss;NGW-004;Technikraum 4;Technik;
Nebengebäude West;Erdgeschoss;NGW-101;Büro (Einzel);Büro;
Nebengebäude West;Erdgeschoss;NGW-102;Büro (Doppel) 2;Büro;
Nebengebäude West;Erdgeschoss;NGW-103;Besprechungsraum 3;Besprechung;
Nebengebäude West;Erdgeschoss;NGW-104;Werkstatt 4;Technik;
Nebengebäude West;Erdgeschoss;NGW-105;WC Herren 5;Sanitär;Zutritt nur mit Begleitung
Nebengebäude West;Erdgeschoss;NGW-106;Poststelle 6;Verwaltung;
Nebengebäude West;1. Obergeschoss;NGW-201;WC Herren;Sanitär;
Nebengebäude West;1. Obergeschoss;NGW-202;Poststelle 2;Verwaltung;
Nebengebäude West;1. Obergeschoss;NGW-203;Flur 3;Verkehrsfläche;
Nebengebäude West;1. Obergeschoss;NGW-204;Werkstatt 4;Technik;
Nebengebäude West;1. Obergeschoss;NGW-205;Serverraum 5;Technik;Zutritt nur mit Begleitung
Nebengebäude West;1. Obergeschoss;NGW-206;Küche 6;Versorgung;Schlüssel beim Hausmeister
Pforte und Wache;Erdgeschoss;NGW-202;Treppenhaus;Verkehrsfläche;
Pforte und Wache;Erdgeschoss;PW-102;Besprechungsraum 2;Besprechung;
Pforte und Wache;Erdgeschoss;PW-103;Großraumbüro 3;Büro;
Pforte und Wache;Erdgeschoss;PW-103;Empfang 4;Empfang;
Pforte und Wache;1. Obergeschoss;PW-201;Büro (Einzel);Büro;Zutritt nur mit Begleitung
Pforte und Wache;1. Obergeschoss;PW-202;Treppenhaus 2;Verkehrsfläche;
Pforte und Wache;1. Obergeschoss;PW-203;Kantine 3;Sozial;
Kantine und Sozialgebäude;Erdgeschoss;KAS-101;WC Herren;Sanitär;Zutritt nur mit Begleitung
Kantine und Sozialgebäude;Erdgeschoss;KAS-102;Treppenhaus 2;Verkehrsfläche;
Kantine und Sozialgebäude;Erdgeschoss;KAS-103;Küche 3;Versorgung;
Kantine und Sozialgebäude;Erdgeschoss;KAS-104;Aufenthaltsraum 4;Sozial;
Kantine und Sozialgebäude;Erdgeschoss;KAS-105;Flur 5;Verkehrsfläche;
Kantine und Sozialgebäude;Erdgeschoss;KAS-106;WC Damen 6;Sanitär;
Kantine und Sozialgebäude;1. Obergeschoss;KAS-201;Flur;Verkehrsfläche;Schlüssel beim Hausmeister
Kantine und Sozialgebäude;1. Obergeschoss;KAS-202;WC Herren 2;Sanitär;
Kantine und Sozialgebäude;1. Obergeschoss;KAS-203;Kantine 3;Sozial;Zutritt nur mit Begleitung
Kantine und Sozialgebäude;1. Obergeschoss;KAS-204;Teeküche 4;Sozial;Zutritt nur mit Begleitung
