Gebäude;Etage;Raum;Raumnummer;Fensternummer;Typ;Hersteller;Beschlag;Baujahr;Breite_mm;Höhe_mm;Glas;Lage;Status
Verwaltungsgebäude Nord;Erdgeschoss;WC Damen 12;VGN-112;VGN-F-0039;Schiebe;GU-BKS;UNI-JET;2015;1260;1870;ESG;Ost;ausser_betrieb
Verwaltungsgebäude Nord;Erdgeschoss;WC Damen 12;VGN-112;VGN-F-0040;Fest;Schüco;AvanTec;2009;1350;1080;3-fach WSG;Ost;saniert
Verwaltungsgebäude Nord;1. Obergeschoss;Küche;VGN-201;VGN-F-0041;Dreh-Kipp;Roto Frank;Roto NX;2019;1060;1210;Ornamentglas;Nordwest;ausser_betrieb
Verwaltungsgebäude Nord;1. Obergeschoss;Küche;VGN-201;VGN-F-0042;Kipp;Siegenia-Aubi;Titan AF;2015;1910;1050;Ornamentglas;West;nicht_zugaenglich
Verwaltungsgebäude Nord;1. Obergeschoss;Flur 2;VGN-202;VGN-F-0043;Oberlicht;Maco;Multi-Matic;2016;700;500;Ornamentglas;Nordost;saniert
Verwaltungsgebäude Nord;1. Obergeschoss;Flur 2;VGN-202;VGN-F-0044;Oberlicht;Schüco;AvanTec;2019;1150;360;2-fach VSG;Ost;saniert
Verwaltungsgebäude Nord;1. Obergeschoss;Kantine 3;VGN-203;VGN-F-0045;Dreh;Maco;Multi-Matic;2003;1510;1450;2-fach WSG;Süd;ausser_betrieb
Verwaltungsgebäude Nord;1. Obergeschoss;Kantine 3;VGN-203;VGN-F-0041;Oberlicht;GU-BKS;UNI-JET;2018;1000;320;2-fach VSG;Nord;abgeschlossen
Verwaltungsgebäude Nord;1. Obergeschoss;Kantine 3;VGN-203;VGN-F-0047;Oberlicht;Roto Frank;Roto NT;2004;800;460;2-fach WSG;Südwest;nicht_begonnen
Verwaltungsgebäude Nord;1. Obergeschoss;Kantine 3;VGN-203;VGN-F-0048;Kipp;Winkhaus;activPilot;2013;1060;1820;2-fach VSG;Nordwest;in_bearbeitung
Verwaltungsgebäude Nord;1. Obergeschoss;Kantine 3;VGN-203;VGN-F-0049;Kipp;Roto Frank;Roto NT;2004;1390;1440;2-fach VSG;Südost;ausser_betrieb
Verwaltungsgebäude Nord;1. Obergeschoss;Kantine 3;VGN-203;VGN-F-0050;Fest;Siegenia-Aubi;Titan AF;2010;1060;1450;Ornamentglas;Südost;abgeschlossen
Verwaltungsgebäude Nord;1. Obergeschoss;Kantine 3;VGN-203;VGN-F-0051;Schiebe;Maco;Multi-Matic;2019;1370;1330;3-fach WSG;Ost;abgeschlossen
Verwaltungsgebäude Nord;1. Obergeschoss;Kantine 3;VGN-203;VGN-F-0052;Dreh;GU-BKS;UNI-JET;2018;1790;1340;3-fach WSG;Südwest;abgeschlossen
Verwaltungsgebäude Nord;1. Obergeschoss;Kantine 3;VGN-203;VGN-F-0053;Schiebe;GU-BKS;UNI-JET;2006;1690;1070;2-fach WSG;Südwest;abgeschlossen
Verwaltungsgebäude Nord;1. Obergeschoss;Großraumbüro 4;VGN-204;VGN-F-0054;Schiebe;Schüco;AvanTec;2009;1270;1210;2-fach WSG;Südwest;saniert
Verwaltungsgebäude Nord;1. Obergeschoss;Großraumbüro 4;VGN-204;VGN-F-0055;Fest;Winkhaus;activPilot;2012;1530;1870;Ornamentglas;Nord;austausch_empfohlen
Verwaltungsgebäude Nord;1. Obergeschoss;Großraumbüro 4;VGN-204;VGN-F-0056;Schiebe;Roto Frank;Roto NT;2005;1100;2060;2-fach WSG;Nordwest;nachpruefung
Verwaltungsgebäude Nord;1. Obergeschoss;Großraumbüro 4;VGN-204;VGN-F-0057;Dreh-Kipp;Winkhaus;activPilot;2019;1880;1240;Ornamentglas;Süd;abgeschlossen
Verwaltungsgebäude Nord;1. Obergeschoss;Großraumbüro 4;VGN-204;VGN-F-0058;Kipp;Schüco;AvanTec;2018;1450;1480;3-fach WSG;Nordost;in_bearbeitung
Verwaltungsgebäude Nord;1. Obergeschoss;Großraumbüro 4;VGN-204;VGN-F-0059;Dreh-Kipp;GU-BKS;UNI-JET;2013;1150;1670;ESG;Nordost;ausser_betrieb
Verwaltungsgebäude Nord;1. Obergeschoss;Großraumbüro 4;VGN-204;VGN-F-0060;Oberlicht;Winkhaus;activPilot;2006;1160;480;ESG;Ost;austausch_empfohlen
Verwaltungsgebäude Nord;1. Obergeschoss;Büro (Doppel) 5;VGN-205;VGN-F-0061;Kipp;Winkhaus;activPilot;2003;1240;1080;2-fach VSG;Nordost;abgeschlossen
Verwaltungsgebäude Nord;1. Obergeschoss;Büro (Doppel) 5;VGN-205;VGN-F-0062;Kipp;Schüco;AvanTec;2018;830;1260;2-fach WSG;Ost;in_bearbeitung
Verwaltungsgebäude Nord;1. Obergeschoss;Büro (Doppel) 5;VGN-205;VGN-F-0063;Kipp;Siegenia-Aubi;Titan AF;2007;1350;1490;2-fach WSG;Nordost;abgeschlossen
Verwaltungsgebäude Nord;1. Obergeschoss;Werkstatt 6;VGN-206;VGN-F-0064;Oberlicht;Winkhaus;activPilot;2003;1040;310;Ornamentglas;Ost;mangel
Verwaltungsgebäude Nord;1. Obergeschoss;Werkstatt 6;VGN-206;VGN-F-0065;Schiebe;Maco;Multi-Matic;2006;1120;1380;2-fach WSG;Nord;nicht_begonnen
Verwaltungsgebäude Nord;1. Obergeschoss;Werkstatt 6;VGN-206;VGN-F-0066;Fest;Roto Frank;Roto NT;2004;1960;1640;3-fach WSG;Südwest;in_bearbeitung
Verwaltungsgebäude Nord;1. Obergeschoss;Aufenthaltsraum 7;VGN-207;VGN-F-0067;Dreh-Kipp;Roto Frank;Roto NT;2019;1230;1500;2-fach VSG;Ost;in_bearbeitung
Verwaltungsgebäude Nord;1. Obergeschoss;Aufenthaltsraum 7;VGN-207;VGN-F-0068;Oberlicht;Siegenia-Aubi;Titan AF;2012;900;410;ESG;Südost;abgeschlossen
Verwaltungsgebäude Nord;1. Obergeschoss;Aufenthaltsraum 7;VGN-207;VGN-F-0069;Fest;Winkhaus;activPilot;2010;1210;1550;ESG;Nord;nicht_zugaenglich
Verwaltungsgebäude Nord;1. Obergeschoss;Küche 9;VGN-209;VGN-F-0070;Schiebe;Siegenia-Aubi;Titan AF;2012;1760;2140;ESG;Nord;nicht_begonnen
Verwaltungsgebäude Nord;1. Obergeschoss;Küche 9;VGN-209;VGN-F-0071;Oberlicht;Siegenia-Aubi;Titan AF;2006;880;370;2-fach WSG;West;in_bearbeitung
Verwaltungsgebäude Nord;1. Obergeschoss;Kantine 11;VGN-211;VGN-F-0072;Schiebe;Roto Frank;Roto NT;2008;1200;1290;ESG;Nordost;nicht_begonnen
Verwaltungsgebäude Nord;1. Obergeschoss;Kantine 11;VGN-211;VGN-F-0073;Fest;Schüco;AvanTec;2015;1120;1520;2-fach VSG;Nordost;nicht_zugaenglich
Verwaltungsgebäude Nord;1. Obergeschoss;Kantine 11;VGN-211;VGN-F-0074;Dreh;GU-BKS;UNI-JET;2005;1230;1060;3-fach WSG;Nordwest;abgeschlossen
Verwaltungsgebäude Nord;1. Obergeschoss;Kantine 11;VGN-211;VGN-F-0075;Dreh-Kipp;Siegenia-Aubi;Titan AF;2009;1390;1410;ESG;Nordost;nicht_begonnen
Verwaltungsgebäude Nord;1. Obergeschoss;Kantine 11;VGN-211;VGN-F-0076;Schiebe;GU-BKS;UNI-JET;2017;860;1780;3-fach WSG;Süd;mangel
Verwaltungsgebäude Nord;1. Obergeschoss;Kantine 11;VGN-211;VGN-F-0077;Dreh-Kipp;Siegenia-Aubi;Titan AF;2009;1980;1860;Ornamentglas;Ost;nachpruefung
Verwaltungsgebäude Nord;1. Obergeschoss;Kantine 11;VGN-211;VGN-F-0078;Oberlicht;Winkhaus;activPilot;2005;820;340;Ornamentglas;Nordost;abgeschlossen
Verwaltungsgebäude Nord;1. Obergeschoss;Kantine 11;VGN-211;VGN-F-0079;Oberlicht;Schüco;AvanTec;2011;680;460;3-fach WSG;Ost;abgeschlossen
Verwaltungsgebäude Nord;1. Obergeschoss;Kantine 11;VGN-211;VGN-F-0077;Kipp;GU-BKS;UNI-JET;2005;1040;1100;ESG;West;abgeschlossen
Verwaltungsgebäude Nord;1. Obergeschoss;Kantine 11;VGN-211;VGN-F-0081;Oberlicht;Roto Frank;Roto NT;2019;790;500;2-fach VSG;Ost;austausch_empfohlen
Verwaltungsgebäude Nord;1. Obergeschoss;Kantine 11;VGN-211;VGN-F-0082;Dreh;GU-BKS;UNI-JET;2003;1890;1110;Ornamentglas;West;ausser_betrieb
Verwaltungsgebäude Nord;1. Obergeschoss;Großraumbüro 12;VGN-212;VGN-F-0083;Dreh;Maco;Multi-Matic;2008;1320;1270;3-fach WSG;Nordost;nicht_zugaenglich
Verwaltungsgebäude Nord;1. Obergeschoss;Großraumbüro 12;VGN-212;VGN-F-0084;Oberlicht;Schüco;AvanTec;2015;850;400;3-fach WSG;Südost;mangel
Verwaltungsgebäude Nord;1. Obergeschoss;Großraumbüro 12;VGN-212;VGN-F-0085;Schiebe;Maco;Multi-Matic;2017;1020;1470;3-fach WSG;Ost;nicht_zugaenglich
Verwaltungsgebäude Nord;1. Obergeschoss;Großraumbüro 12;VGN-212;VGN-F-0086;Dreh;Roto Frank;Roto NX;2019;1110;1720;2-fach VSG;Süd;abgeschlossen
Verwaltungsgebäude Nord;1. Obergeschoss;Großraumbüro 12;VGN-212;VGN-F-0087;Kipp;GU-BKS;UNI-JET;2009;1070;1650;3-fach WSG;Nordwest;nachpruefung
Verwaltungsgebäude Nord;1. Obergeschoss;Büro (Doppel) 13;VGN-213;VGN-F-0088;Schiebe;Siegenia-Aubi;Titan AF;2017;1120;1380;Ornamentglas;Südost;abgeschlossen
Verwaltungsgebäude Nord;1. Obergeschoss;Büro (Doppel) 13;VGN-213;VGN-F-0089;Schiebe;Roto Frank;Roto NX;2019;1130;1040;ESG;Südost;nicht_begonnen
Verwaltungsgebäude Nord;1. Obergeschoss;Büro (Doppel) 13;VGN-213;VGN-F-0090;Oberlicht;GU-BKS;UNI-JET;2019;1070;340;3-fach WSG;West;austausch_empfohlen
Verwaltungsgebäude Nord;1. Obergeschoss;Werkstatt 14;VGN-214;VGN-F-0091;Fest;Roto Frank;Roto NT;2012;1100;1240;2-fach VSG;Nord;nicht_begonnen
Verwaltungsgebäude Nord;1. Obergeschoss;Werkstatt 14;VGN-214;VGN-F-0092;Kipp;Winkhaus;activPilot;2009;1260;1080;2-fach WSG;Südwest;in_bearbeitung
Verwaltungsgebäude Nord;1. Obergeschoss;Werkstatt 14;VGN-214;VGN-F-0093;Oberlicht;Maco;Multi-Matic;2006;1130;490;2-fach VSG;Nord;ausser_betrieb
Verwaltungsgebäude Nord;2. Obergeschoss;Werkstatt;VGN-301;VGN-F-0094;Kipp;Siegenia-Aubi;Titan AF;2013;1870;1050;3-fach WSG;Südwest;abgeschlossen
Verwaltungsgebäude Nord;2. Obergeschoss;Werkstatt;VGN-301;VGN-F-0095;Schiebe;Schüco;AvanTec;2004;1600;1230;Ornamentglas;Nordost;abgeschlossen
Verwaltungsgebäude Nord;2. Obergeschoss;Treppenhaus 3;VGN-303;VGN-F-0096;Kipp;Siegenia-Aubi;Titan AF;2005;960;1780;Ornamentglas;Süd;austausch_empfohlen
Verwaltungsgebäude Nord;2. Obergeschoss;Technikraum 4;VGN-304;VGN-F-0097;Schiebe;Roto Frank;Roto NX;2011;1050;1990;3-fach WSG;Nordwest;in_bearbeitung
Verwaltungsgebäude Nord;2. Obergeschoss;Konferenzraum 5;VGN-305;VGN-F-0098;Fest;GU-BKS;UNI-JET;2006;1400;1390;ESG;West;saniert
Verwaltungsgebäude Nord;2. Obergeschoss;Konferenzraum 5;VGN-305;VGN-F-0099;Kipp;Schüco;AvanTec;2006;1590;1650;3-fach WSG;West;nachpruefung
Verwaltungsgebäude Nord;2. Obergeschoss;Konferenzraum 5;VGN-305;VGN-F-0100;Dreh;Winkhaus;activPilot;2004;1770;1760;2-fach VSG;Südost;abgeschlossen
Verwaltungsgebäude Nord;2. Obergeschoss;Konferenzraum 5;VGN-305;VGN-F-0101;Dreh-Kipp;Winkhaus;activPilot;2003;1100;1580;Ornamentglas;Südost;abgeschlossen
Verwaltungsgebäude Nord;2. Obergeschoss;Poststelle 6;VGN-306;VGN-F-0102;Kipp;GU-BKS;UNI-JET;2015;1770;2200;3-fach WSG;Nordost;in_bearbeitung
Verwaltungsgebäude Nord;2. Obergeschoss;Besprechungsraum 7;VGN-307;VGN-F-0103;Fest;Winkhaus;activPilot;2009;1140;2160;ESG;Südwest;abgeschlossen
Verwaltungsgebäude Nord;2. Obergeschoss;Besprechungsraum 7;VGN-307;VGN-F-0104;Kipp;Winkhaus;activPilot;2011;1590;1710;2-fach VSG;Südwest;nicht_begonnen
Verwaltungsgebäude Nord;2. Obergeschoss;Besprechungsraum 7;VGN-307;VGN-F-0105;Dreh-Kipp;Roto Frank;Roto NT;2013;890;1170;3-fach WSG;Nordost;nicht_zugaenglich
Verwaltungsgebäude Nord;2. Obergeschoss;Großraumbüro 8;VGN-308;VGN-F-0106;Schiebe;Roto Frank;Roto NX;2005;900;1280;2-fach VSG;Südost;abgeschlossen
Verwaltungsgebäude Nord;2. Obergeschoss;Großraumbüro 8;VGN-308;VGN-F-0107;Dreh;Roto Frank;Roto NX;2015;1960;1350;2-fach WSG;Südost;abgeschlossen
Verwaltungsgebäude Nord;2. Obergeschoss;Großraumbüro 8;VGN-308;VGN-F-0108;Oberlicht;GU-BKS;UNI-JET;2008;720;480;2-fach WSG;Süd;mangel
Verwaltungsgebäude Nord;2. Obergeschoss;Großraumbüro 8;VGN-308;VGN-F-0109;Fest;Siegenia-Aubi;Titan AF;2003;1420;2030;3-fach WSG;Nord;abgeschlossen
Verwaltungsgebäude Nord;2. Obergeschoss;Werkstatt 9;VGN-309;VGN-F-0110;Oberlicht;Schüco;AvanTec;2019;930;500;3-fach WSG;Nordwest;nicht_begonnen
Verwaltungsgebäude Nord;2. Obergeschoss;Werkstatt 9;VGN-309;VGN-F-0111;Kipp;Maco;Multi-Matic;2019;1910;2150;ESG;Süd;in_bearbeitung
Verwaltungsgebäude Nord;2. Obergeschoss;Werkstatt 9;VGN-309;VGN-F-0112;Dreh;Roto Frank;Roto NT;2015;840;1450;2-fach VSG;Süd;nicht_zugaenglich
Verwaltungsgebäude Nord;2. Obergeschoss;Treppenhaus 11;VGN-311;VGN-F-0113;Dreh;GU-BKS;UNI-JET;2018;1880;1220;Ornamentglas;Ost;in_bearbeitung
Verwaltungsgebäude Nord;2. Obergeschoss;Konferenzraum 13;VGN-313;VGN-F-0114;Kipp;Winkhaus;activPilot;2004;840;1260;3-fach WSG;Ost;ausser_betrieb
Verwaltungsgebäude Nord;2. Obergeschoss;Konferenzraum 13;VGN-313;VGN-F-0115;Schiebe;Roto Frank;Roto NX;2007;1400;1200;2-fach VSG;Ost;mangel
Verwaltungsgebäude Nord;2. Obergeschoss;Konferenzraum 13;VGN-313;VGN-F-0116;Fest;Roto Frank;Roto NT;2006;1780;1640;3-fach WSG;Nordwest;abgeschlossen
Verwaltungsgebäude Nord;2. Obergeschoss;Konferenzraum 13;VGN-313;VGN-F-0117;Kipp;GU-BKS;UNI-JET;2009;1130;1590;Ornamentglas;Ost;nicht_zugaenglich
Verwaltungsgebäude Nord;2. Obergeschoss;Konferenzraum 13;VGN-313;VGN-F-0118;Schiebe;Roto Frank;Roto NX;2006;830;1880;ESG;Ost;nicht_begonnen
Verwaltungsgebäude Nord;2. Obergeschoss;Poststelle 14;VGN-314;VGN-F-0119;Kipp;Winkhaus;activPilot;2019;970;1510;2-fach WSG;West;mangel
Verwaltungsgebäude Nord;3. Obergeschoss;Großraumbüro;VGN-401;VGN-F-0120;Schiebe;GU-BKS;UNI-JET;2004;1740;1420;3-fach WSG;Ost;mangel
Verwaltungsgebäude Nord;3. Obergeschoss;Großraumbüro;VGN-401;VGN-F-0121;Dreh;Roto Frank;Roto NX;2011;1620;1080;ESG;West;nicht_begonnen
Verwaltungsgebäude Nord;3. Obergeschoss;Großraumbüro;VGN-401;VGN-F-0122;Schiebe;Schüco;AvanTec;2010;1090;2000;3-fach WSG;West;nicht_begonnen
Verwaltungsgebäude Nord;3. Obergeschoss;Großraumbüro;VGN-401;VGN-F-0123;Fest;Roto Frank;Roto NT;2009;1600;1980;Ornamentglas;Ost;saniert
Verwaltungsgebäude Nord;3. Obergeschoss;Großraumbüro;VGN-401;VGN-F-0124;Fest;GU-BKS;UNI-JET;2019;1150;2170;3-fach WSG;Süd;nachpruefung
Verwaltungsgebäude Nord;3. Obergeschoss;Konferenzraum 2;VGN-402;VGN-F-0125;Oberlicht;GU-BKS;UNI-JET;2016;1070;390;Ornamentglas;Nordost;nachpruefung
Verwaltungsgebäude Nord;3. Obergeschoss;Konferenzraum 2;VGN-402;VGN-F-0126;Schiebe;Siegenia-Aubi;Titan AF;2005;820;1720;3-fach WSG;Nord;saniert
Verwaltungsgebäude Nord;3. Obergeschoss;Konferenzraum 2;VGN-402;VGN-F-0127;Schiebe;Maco;Multi-Matic;2005;1300;1840;2-fach WSG;Nord;abgeschlossen
Verwaltungsgebäude Nord;3. Obergeschoss;Konferenzraum 2;VGN-402;VGN-F-0128;Dreh-Kipp;Schüco;AvanTec;2004;1770;2180;3-fach WSG;West;nicht_zugaenglich
Verwaltungsgebäude Nord;3. Obergeschoss;Empfang 3;VGN-403;VGN-F-0129;Schiebe;GU-BKS;UNI-JET;2011;1670;1820;3-fach WSG;Ost;nachpruefung
Verwaltungsgebäude Nord;3. Obergeschoss;Empfang 3;VGN-403;VGN-F-0130;Kipp;Siegenia-Aubi;Titan AF;2004;1360;1640;2-fach WSG;Nordost;mangel
Verwaltungsgebäude Nord;3. Obergeschoss;Empfang 3;VGN-403;VGN-F-0131;Kipp;Maco;Multi-Matic;2011;1010;1670;2-fach WSG;West;mangel
Verwaltungsgebäude Nord;3. Obergeschoss;Empfang 3;VGN-403;VGN-F-0132;Oberlicht;Maco;Multi-Matic;2007;1190;390;2-fach VSG;Südost;mangel
Verwaltungsgebäude Nord;3. Obergeschoss;Küche 4;VGN-404;VGN-F-0133;Dreh;Roto Frank;Roto NT;2014;1570;1670;3-fach WSG;Südwest;nicht_begonnen
Verwaltungsgebäude Nord;3. Obergeschoss;Küche 4;VGN-404;VGN-F-0134;Fest;Winkhaus;activPilot;2020;890;2160;3-fach WSG;Süd;in_bearbeitung
Verwaltungsgebäude Nord;3. Obergeschoss;Poststelle 5;VGN-405;VGN-F-0135;Dreh;GU-BKS;UNI-JET;2020;980;1410;3-fach WSG;Nordwest;abgeschlossen
Verwaltungsgebäude Nord;3. Obergeschoss;Poststelle 5;VGN-405;VGN-F-0136;Dreh;Winkhaus;activPilot;2015;980;1500;2-fach VSG;Ost;nicht_zugaenglich
Verwaltungsgebäude Nord;3. Obergeschoss;Flur 7;VGN-407;VGN-F-0137;Kipp;Siegenia-Aubi;Titan AF;2007;1780;2010;3-fach WSG;Südwest;in_bearbeitung
Verwaltungsgebäude Nord;3. Obergeschoss;Flur 7;VGN-407;VGN-F-0138;Schiebe;Winkhaus;activPilot;2017;1110;1000;Ornamentglas;Nordwest;mangel
Verwaltungsgebäude Nord;3. Obergeschoss;Teeküche 8;VGN-408;VGN-F-0139;Kipp;Maco;Multi-Matic;2003;870;1670;3-fach WSG;West;nicht_begonnen
Verwaltungsgebäude Nord;3. Obergeschoss;Großraumbüro 9;VGN-409;VGN-F-0140;Schiebe;GU-BKS;UNI-JET;2016;1130;1110;ESG;Nordost;nicht_begonnen
Verwaltungsgebäude Nord;3. Obergeschoss;Großraumbüro 9;VGN-409;VGN-F-0141;Fest;GU-BKS;UNI-JET;2008;1530;2090;ESG;Ost;nachpruefung
Verwaltungsgebäude Nord;3. Obergeschoss;Großraumbüro 9;VGN-409;VGN-F-0142;Oberlicht;Winkhaus;activPilot;2006;1120;420;3-fach WSG;Südwest;ausser_betrieb
Verwaltungsgebäude Nord;3. Obergeschoss;Großraumbüro 9;VGN-409;VGN-F-0143;Schiebe;Maco;Multi-Matic;2006;970;2160;Ornamentglas;Nordwest;nicht_begonnen
Verwaltungsgebäude Nord;3. Obergeschoss;Großraumbüro 9;VGN-409;VGN-F-0144;Oberlicht;Winkhaus;activPilot;2019;810;500;3-fach WSG;Ost;nicht_begonnen
