Fensternummer;Gebäude;Etage;Raum;Raumnummer;Status;Hersteller;Beschlagsystem;Baujahr;Breite_mm;Höhe_mm;Mangel;Dringend;Fortschritt;Bewertung
F-0016;Verwaltungsgebäude Nord;Untergeschoss;Flur;VGN-004;freigegeben;Siegenia-Aubi;Siegenia Titan AF;2003;1005;1583;Nein;Nein;100%;ohne Beanstandung
F-0017;Verwaltungsgebäude Nord;Untergeschoss;Empfang;VGN-005;in Bearbeitung;Schüco;Siegenia Titan AF;2020;1038;1188;Nein;Nein;72%;
F-0018;Verwaltungsgebäude Nord;Untergeschoss;Empfang;VGN-005;Pruefung abgeschlossen;Winkhaus;Schüco AvanTec;1990;910;2151;Nein;Nein;100%;Austausch empfohlen
F-0019;Verwaltungsgebäude Nord;Untergeschoss;Empfang;VGN-005;in Bearbeitung;Siegenia-Aubi;Roto NT;2008;1233;2016;Nein;Nein;35%;
F-0020;Verwaltungsgebäude Nord;Untergeschoss;Archiv;VGN-006;in Bearbeitung;Roto Frank;GU UNI-JET;2020;2317;1000;Nein;Nein;59%;
F-0021;Verwaltungsgebäude Nord;Untergeschoss;Flur;VGN-007;nicht begonnen;Weru;Siegenia Titan AF;1985;1438;1175;Nein;Nein;0%;
F-0022;Verwaltungsgebäude Nord;Untergeschoss;Flur;VGN-007;in Bearbeitung;Weru;Roto NT;1998;609;955;Nein;Nein;33%;
F-0023;Verwaltungsgebäude Nord;Untergeschoss;Flur;VGN-007;in Bearbeitung;Schüco;Roto NT;1985;2126;1978;Nein;Nein;62%;
F-0024;Verwaltungsgebäude Nord;Untergeschoss;Flur;VGN-007;nicht begonnen;Roto Frank;Winkhaus activPilot;2003;1125;1672;Nein;Nein;0%;
F-0025;Verwaltungsgebäude Nord;Untergeschoss;Sanitär;VGN-008;fachlich geprueft;Siegenia-Aubi;Roto NX;2008;622;1831;Nein;Nein;100%;ohne Beanstandung
F-0026;Verwaltungsgebäude Nord;Untergeschoss;Sanitär;VGN-008;nicht zugaenglich;Roto Frank;Winkhaus activPilot;1990;1721;1411;Nein;Nein;0%;
F-0027;Verwaltungsgebäude Nord;Untergeschoss;Sanitär;VGN-008;in Bearbeitung;Winkhaus;Maco Multi-Matic;2015;2258;1381;Nein;Nein;22%;
F-0028;Verwaltungsgebäude Nord;Untergeschoss;Flur;VGN-009;in Bearbeitung;Schüco;GU UNI-JET;2000;1287;1364;Nein;Nein;69%;
F-0029;Verwaltungsgebäude Nord;Untergeschoss;Flur;VGN-009;nicht begonnen;Schüco;Schüco AvanTec;1992;1376;922;Nein;Nein;0%;
F-0030;Verwaltungsgebäude Nord;Untergeschoss;Flur;VGN-009;freigegeben;Schüco;Siegenia Titan AF;2012;1659;996;Nein;Nein;100%;ohne Beanstandung
F-0031;Verwaltungsgebäude Nord;Untergeschoss;Flur;VGN-009;nicht begonnen;Winkhaus;Schüco AvanTec;2010;1778;1923;Nein;Nein;0%;
F-0032;Verwaltungsgebäude Nord;Untergeschoss;Flur;VGN-009;Pruefung abgeschlossen;Siegenia-Aubi;Maco Multi-Matic;1990;1428;1540;Nein;Nein;100%;Austausch empfohlen
F-0033;Verwaltungsgebäude Nord;Untergeschoss;Flur;VGN-009;freigegeben;Weru;Siegenia Titan AF;2008;1867;1511;Nein;Nein;100%;ohne Beanstandung
F-0034;Verwaltungsgebäude Nord;Untergeschoss;Flur;VGN-009;Pruefung abgeschlossen;Weru;Siegenia Titan AF;2012;669;1055;Ja;Ja;100%;ohne Beanstandung
F-0035;Verwaltungsgebäude Nord;Untergeschoss;Flur;VGN-009;Spezialpruefung erforderlich;Maco;Winkhaus activPilot;2018;2004;1803;Ja;Nein;0%;
F-0036;Verwaltungsgebäude Nord;Untergeschoss;Lager;VGN-010;fachlich geprueft;Siegenia-Aubi;Maco Multi-Matic;1995;600;1077;Nein;Nein;100%;Austausch empfohlen
F-0037;Verwaltungsgebäude Nord;Untergeschoss;Lager;VGN-011;freigegeben;GU (Gretsch-Unitas);Winkhaus activPilot;2008;720;2085;Nein;Nein;100%;ohne Beanstandung
F-0038;Verwaltungsgebäude Nord;Erdgeschoss;Archiv;VGN-101;nicht zugaenglich;GU (Gretsch-Unitas);Siegenia Titan AF;2018;2173;1529;Nein;Nein;0%;
F-0039;Verwaltungsgebäude Nord;Erdgeschoss;Archiv;VGN-101;nicht zugaenglich;Winkhaus;Maco Multi-Matic;2015;1773;2030;Nein;Nein;0%;
F-0040;Verwaltungsgebäude Nord;Erdgeschoss;Archiv;VGN-101;freigegeben;GU (Gretsch-Unitas);Roto NX;1998;2199;1002;Nein;Nein;100%;Austausch empfohlen
F-0041;Verwaltungsgebäude Nord;Erdgeschoss;Bibliothek;VGN-102;freigegeben;Schüco;Winkhaus activPilot;2008;1902;1898;Nein;Nein;100%;erheblicher Mangel
F-0042;Verwaltungsgebäude Nord;Erdgeschoss;Bibliothek;VGN-102;Pruefung abgeschlossen;Maco;Schüco AvanTec;1990;2092;962;Ja;Nein;100%;Austausch empfohlen
F-0043;Verwaltungsgebäude Nord;Erdgeschoss;Sanitär;VGN-103;Pruefung abgeschlossen;Schüco;Maco Multi-Matic;1985;2227;2187;Nein;Nein;100%;geringfügiger Mangel
F-0044;Verwaltungsgebäude Nord;Erdgeschoss;Büro;VGN-104;in Bearbeitung;Weru;Siegenia Titan AF;2018;2321;1955;Nein;Nein;52%;
F-0045;Verwaltungsgebäude Nord;Erdgeschoss;Büro;VGN-104;Spezialpruefung erforderlich;Roto Frank;Roto NT;2015;1529;1006;Nein;Nein;0%;
F-0046;Verwaltungsgebäude Nord;Erdgeschoss;Büro;VGN-104;fachlich geprueft;Weru;Siegenia Titan AF;2008;1936;1084;Nein;Nein;100%;ohne Beanstandung
F-0047;Verwaltungsgebäude Nord;Erdgeschoss;Druckerraum;VGN-105;Spezialpruefung erforderlich;Maco;Roto NT;2018;654;2043;Ja;Ja;0%;
F-0048;Verwaltungsgebäude Nord;Erdgeschoss;Druckerraum;VGN-105;in Bearbeitung;Weru;Roto NT;1992;881;844;Ja;Nein;32%;
F-0049;Verwaltungsgebäude Nord;Erdgeschoss;Sanitär;VGN-106;Spezialpruefung erforderlich;Siegenia-Aubi;Siegenia Titan AF;2008;930;2162;Nein;Nein;0%;
F-0050;Verwaltungsgebäude Nord;Erdgeschoss;Sanitär;VGN-106;nicht zugaenglich;Roto Frank;GU UNI-JET;2018;2168;1711;Nein;Nein;0%;
F-0051;Verwaltungsgebäude Nord;Erdgeschoss;Sanitär;VGN-106;fachlich geprueft;Roto Frank;Schüco AvanTec;2003;1450;1574;Nein;Nein;100%;erheblicher Mangel
F-0052;Verwaltungsgebäude Nord;Erdgeschoss;Sanitär;VGN-107;fachlich geprueft;GU (Gretsch-Unitas);Maco Multi-Matic;1998;1647;1039;Nein;Nein;100%;Gefahr im Verzug
F-0053;Verwaltungsgebäude Nord;Erdgeschoss;Bibliothek;VGN-108;nicht begonnen;Schüco;Siegenia Titan AF;1995;2002;1507;Nein;Nein;0%;
F-0054;Verwaltungsgebäude Nord;Erdgeschoss;Bibliothek;VGN-108;nicht begonnen;Maco;GU UNI-JET;1992;2369;1478;Nein;Nein;0%;
F-0055;Verwaltungsgebäude Nord;Erdgeschoss;Bibliothek;VGN-108;in Bearbeitung;Winkhaus;Winkhaus activPilot;2018;1571;1672;Nein;Nein;38%;
F-0056;Verwaltungsgebäude Nord;1. Obergeschoss;Besprechungsraum;VGN-201;nicht zugaenglich;Siegenia-Aubi;Winkhaus activPilot;2020;1971;1131;Ja;Nein;0%;
F-0057;Verwaltungsgebäude Nord;1. Obergeschoss;Büro;VGN-202;nicht begonnen;Roto Frank;Roto NX;2000;701;1022;Nein;Nein;0%;
F-0058;Verwaltungsgebäude Nord;1. Obergeschoss;Büro;VGN-202;Pruefung abgeschlossen;Siegenia-Aubi;Winkhaus activPilot;1995;1437;1512;Nein;Nein;100%;erheblicher Mangel
F-0059;Verwaltungsgebäude Nord;1. Obergeschoss;Büro;VGN-203;Spezialpruefung erforderlich;GU (Gretsch-Unitas);Siegenia Titan AF;2003;1391;1639;Nein;Nein;0%;
F-0060;Verwaltungsgebäude Nord;1. Obergeschoss;Büro;VGN-203;nicht zugaenglich;Maco;Winkhaus activPilot;2012;1146;1293;Nein;Nein;0%;
F-0061;Verwaltungsgebäude Nord;1. Obergeschoss;Büro;VGN-203;nicht begonnen;Schüco;Winkhaus activPilot;1985;991;1884;Nein;Nein;0%;
F-0062;Verwaltungsgebäude Nord;1. Obergeschoss;Büro;VGN-203;Pruefung abgeschlossen;GU (Gretsch-Unitas);Roto NX;2018;2199;1122;Nein;Nein;100%;Austausch empfohlen
F-0063;Verwaltungsgebäude Nord;1. Obergeschoss;Poststelle;VGN-204;freigegeben;Winkhaus;Roto NT;1998;1288;1430;Nein;Nein;100%;
F-0064;Verwaltungsgebäude Nord;1. Obergeschoss;Poststelle;VGN-204;freigegeben;Roto Frank;Schüco AvanTec;2008;932;2015;Nein;Nein;100%;geringfügiger Mangel
F-0065;Verwaltungsgebäude Nord;1. Obergeschoss;Poststelle;VGN-204;Spezialpruefung erforderlich;Schüco;Roto NT;2000;757;1248;Ja;Ja;0%;
F-0066;Verwaltungsgebäude Nord;1. Obergeschoss;Poststelle;VGN-204;fachlich geprueft;Winkhaus;Siegenia Titan AF;2005;1305;876;Nein;Nein;100%;erheblicher Mangel
F-0067;Verwaltungsgebäude Nord;1. Obergeschoss;Poststelle;VGN-205;fachlich geprueft;Siegenia-Aubi;Maco Multi-Matic;1992;2212;1989;Nein;Nein;100%;Gefahr im Verzug
F-0068;Verwaltungsgebäude Nord;1. Obergeschoss;Poststelle;VGN-205;Pruefung abgeschlossen;Schüco;Roto NX;2010;1531;1389;Nein;Nein;100%;Gefahr im Verzug
F-0069;Verwaltungsgebäude Nord;1. Obergeschoss;Archiv;VGN-206;fachlich geprueft;Winkhaus;Schüco AvanTec;2018;2230;1232;Nein;Nein;100%;
F-0070;Verwaltungsgebäude Nord;1. Obergeschoss;Archiv;VGN-206;nicht zugaenglich;Roto Frank;Winkhaus activPilot;2012;1408;1597;Nein;Nein;0%;
F-0071;Verwaltungsgebäude Nord;1. Obergeschoss;Archiv;VGN-206;nicht begonnen;Schüco;Siegenia Titan AF;1990;1472;1187;Nein;Nein;0%;
F-0072;Verwaltungsgebäude Nord;1. Obergeschoss;Empfang;VGN-207;freigegeben;Weru;Schüco AvanTec;1995;1597;1293;Nein;Nein;100%;geringfügiger Mangel
F-0073;Verwaltungsgebäude Nord;1. Obergeschoss;Empfang;VGN-207;freigegeben;Weru;Winkhaus activPilot;1992;2361;1041;Nein;Nein;100%;geringfügiger Mangel
F-0074;Verwaltungsgebäude Nord;1. Obergeschoss;Empfang;VGN-207;fachlich geprueft;Weru;Roto NT;2020;1906;1087;Nein;Nein;100%;ohne Beanstandung
F-0075;Verwaltungsgebäude Nord;1. Obergeschoss;Sanitär;VGN-208;freigegeben;Siegenia-Aubi;Schüco AvanTec;1995;1504;1928;Nein;Nein;100%;ohne Beanstandung
F-0076;Verwaltungsgebäude Nord;1. Obergeschoss;Sanitär;VGN-208;Pruefung abgeschlossen;Maco;Winkhaus activPilot;1985;2350;839;Nein;Nein;100%;Gefahr im Verzug
F-0077;Verwaltungsgebäude Nord;2. Obergeschoss;Bibliothek;VGN-301;in Bearbeitung;Maco;Winkhaus activPilot;2005;1609;1190;Nein;Nein;40%;
F-0078;Verwaltungsgebäude Nord;2. Obergeschoss;Bibliothek;VGN-301;Spezialpruefung erforderlich;Winkhaus;Roto NX;2012;1875;1483;Nein;Nein;0%;
F-0079;Verwaltungsgebäude Nord;2. Obergeschoss;Bibliothek;VGN-301;nicht zugaenglich;GU (Gretsch-Unitas);Maco Multi-Matic;1992;1290;1371;Nein;Nein;0%;
F-0080;Verwaltungsgebäude Nord;2. Obergeschoss;Sanitär;VGN-302;Spezialpruefung erforderlich;GU (Gretsch-Unitas);GU UNI-JET;2000;1939;1913;Nein;Nein;0%;
F-0081;Verwaltungsgebäude Nord;2. Obergeschoss;Sanitär;VGN-302;Spezialpruefung erforderlich;Maco;Roto NT;2005;1748;1497;Nein;Nein;0%;
F-0082;Verwaltungsgebäude Nord;2. Obergeschoss;Sanitär;VGN-302;in Bearbeitung;Schüco;Maco Multi-Matic;1998;1433;1279;Ja;Nein;70%;
F-0083;Verwaltungsgebäude Nord;2. Obergeschoss;Sanitär;VGN-302;Spezialpruefung erforderlich;Siegenia-Aubi;Siegenia Titan AF;1992;1357;1823;Nein;Nein;0%;
F-0084;Verwaltungsgebäude Nord;2. Obergeschoss;Lager;VGN-303;fachlich geprueft;Weru;Maco Multi-Matic;2018;2011;1251;Nein;Nein;100%;geringfügiger Mangel
F-0085;Verwaltungsgebäude Nord;2. Obergeschoss;Lager;VGN-304;fachlich geprueft;Winkhaus;Roto NX;2020;1272;1736;Ja;Nein;100%;erheblicher Mangel
F-0086;Verwaltungsgebäude Nord;2. Obergeschoss;Lager;VGN-304;Spezialpruefung erforderlich;Siegenia-Aubi;Schüco AvanTec;1992;1602;1277;Nein;Nein;0%;
F-0087;Verwaltungsgebäude Nord;2. Obergeschoss;Lager;VGN-304;fachlich geprueft;Siegenia-Aubi;Schüco AvanTec;2003;1337;1349;Ja;Ja;100%;Gefahr im Verzug
F-0088;Verwaltungsgebäude Nord;2. Obergeschoss;Serverraum;VGN-305;in Bearbeitung;GU (Gretsch-Unitas);Roto NT;2008;809;1271;Nein;Nein;76%;
F-0089;Verwaltungsgebäude Nord;2. Obergeschoss;Druckerraum;VGN-306;freigegeben;Roto Frank;Maco Multi-Matic;2005;947;1253;Nein;Nein;100%;erheblicher Mangel
F-0090;Verwaltungsgebäude Nord;2. Obergeschoss;Poststelle;VGN-307;Spezialpruefung erforderlich;Winkhaus;Winkhaus activPilot;1992;950;845;Nein;Nein;0%;
F-0091;Verwaltungsgebäude Nord;2. Obergeschoss;Poststelle;VGN-307;in Bearbeitung;Roto Frank;Roto NX;2008;2060;1279;Nein;Nein;37%;
F-0092;Verwaltungsgebäude Nord;2. Obergeschoss;Poststelle;VGN-307;Spezialpruefung erforderlich;Weru;Roto NT;1992;704;1158;Nein;Nein;0%;
F-0093;Verwaltungsgebäude Nord;2. Obergeschoss;Poststelle;VGN-307;Pruefung abgeschlossen;Schüco;GU UNI-JET;2018;1415;876;Nein;Nein;100%;
F-0094;Verwaltungsgebäude Nord;2. Obergeschoss;Archiv;VGN-308;in Bearbeitung;Schüco;Siegenia Titan AF;2020;1528;1440;Nein;Nein;80%;
F-0095;Verwaltungsgebäude Nord;2. Obergeschoss;Archiv;VGN-309;Pruefung abgeschlossen;GU (Gretsch-Unitas);Roto NX;2012;1432;934;Nein;Nein;100%;ohne Beanstandung
F-0096;Verwaltungsgebäude Nord;2. Obergeschoss;Archiv;VGN-309;Spezialpruefung erforderlich;Maco;Winkhaus activPilot;2012;1770;989;Nein;Nein;0%;
F-0097;Verwaltungsgebäude Nord;2. Obergeschoss;Archiv;VGN-309;nicht zugaenglich;Weru;Maco Multi-Matic;1992;1782;2073;Nein;Nein;0%;
F-0098;Verwaltungsgebäude Nord;2. Obergeschoss;Serverraum;VGN-310;nicht zugaenglich;Weru;Winkhaus activPilot;2010;1960;1307;Nein;Nein;0%;
F-0099;Verwaltungsgebäude Nord;2. Obergeschoss;Serverraum;VGN-311;freigegeben;Winkhaus;Siegenia Titan AF;2018;1604;1020;Nein;Nein;100%;ohne Beanstandung
F-0100;Verwaltungsgebäude Nord;3. Obergeschoss;Besprechungsraum;VGN-401;Pruefung abgeschlossen;Maco;Siegenia Titan AF;1998;1657;1283;Nein;Nein;100%;ohne Beanstandung
F-0101;Verwaltungsgebäude Nord;3. Obergeschoss;Besprechungsraum;VGN-401;fachlich geprueft;Weru;Roto NT;1990;1459;1311;Nein;Nein;100%;geringfügiger Mangel
F-0102;Verwaltungsgebäude Nord;3. Obergeschoss;Besprechungsraum;VGN-401;Pruefung abgeschlossen;Schüco;Maco Multi-Matic;2000;899;2013;Nein;Nein;100%;ohne Beanstandung
F-0103;Verwaltungsgebäude Nord;3. Obergeschoss;Teeküche;VGN-402;nicht zugaenglich;Maco;Winkhaus activPilot;1995;1594;1300;Nein;Nein;0%;
F-0104;Verwaltungsgebäude Nord;3. Obergeschoss;Büro;VGN-403;in Bearbeitung;Roto Frank;Roto NT;2020;930;2140;Nein;Nein;70%;
F-0105;Verwaltungsgebäude Nord;3. Obergeschoss;Empfang;VGN-404;Spezialpruefung erforderlich;Siegenia-Aubi;GU UNI-JET;2000;849;1102;Nein;Nein;0%;
F-0106;Verwaltungsgebäude Nord;3. Obergeschoss;Empfang;VGN-404;Spezialpruefung erforderlich;Roto Frank;Maco Multi-Matic;2010;1547;2090;Nein;Nein;0%;
F-0107;Verwaltungsgebäude Nord;3. Obergeschoss;Lager;VGN-405;fachlich geprueft;Siegenia-Aubi;GU UNI-JET;1995;2343;1002;Nein;Nein;100%;erheblicher Mangel
F-0108;Verwaltungsgebäude Nord;3. Obergeschoss;Archiv;VGN-406;nicht begonnen;Weru;Maco Multi-Matic;1992;1454;1214;Nein;Nein;0%;
F-0109;Verwaltungsgebäude Nord;3. Obergeschoss;Archiv;VGN-406;fachlich geprueft;Schüco;Roto NX;2003;1777;1620;Ja;Ja;100%;
F-0110;Verwaltungsgebäude Nord;3. Obergeschoss;Bibliothek;VGN-407;Spezialpruefung erforderlich;Siegenia-Aubi;Roto NT;2003;1985;1637;Nein;Nein;0%;
F-0111;Verwaltungsgebäude Nord;3. Obergeschoss;Bibliothek;VGN-407;freigegeben;GU (Gretsch-Unitas);Winkhaus activPilot;2005;2139;1886;Nein;Nein;100%;
F-0112;Verwaltungsgebäude Süd;Untergeschoss;Empfang;VGS-001;Pruefung abgeschlossen;Maco;Maco Multi-Matic;1985;901;1917;Nein;Nein;100%;ohne Beanstandung
F-0113;Verwaltungsgebäude Süd;Untergeschoss;Empfang;VGS-001;in Bearbeitung;Roto Frank;GU UNI-JET;2018;1778;2142;Nein;Nein;53%;
F-0114;Verwaltungsgebäude Süd;Untergeschoss;Empfang;VGS-001;Pruefung abgeschlossen;Roto Frank;Maco Multi-Matic;2008;820;975;Nein;Nein;100%;geringfügiger Mangel
F-0115;Verwaltungsgebäude Süd;Untergeschoss;Empfang;VGS-001;Pruefung abgeschlossen;Siegenia-Aubi;Maco Multi-Matic;2012;2084;870;Nein;Nein;100%;
F-0116;Verwaltungsgebäude Süd;Untergeschoss;Teeküche;VGS-002;fachlich geprueft;Siegenia-Aubi;Roto NX;1998;1290;1331;Nein;Nein;100%;erheblicher Mangel
F-0117;Verwaltungsgebäude Süd;Untergeschoss;Poststelle;VGS-003;fachlich geprueft;Winkhaus;Maco Multi-Matic;2003;1563;1685;Ja;Nein;100%;erheblicher Mangel
F-0118;Verwaltungsgebäude Süd;Untergeschoss;Poststelle;VGS-003;nicht begonnen;Schüco;Roto NX;2015;2397;1158;Ja;Ja;0%;
F-0119;Verwaltungsgebäude Süd;Untergeschoss;Poststelle;VGS-003;freigegeben;Roto Frank;Schüco AvanTec;1995;1539;2157;Ja;Nein;100%;erheblicher Mangel
F-0120;Verwaltungsgebäude Süd;Untergeschoss;Poststelle;VGS-003;nicht begonnen;Weru;Roto NX;2005;1877;1041;Nein;Nein;0%;
F-0121;Verwaltungsgebäude Süd;Untergeschoss;Bibliothek;VGS-004;Spezialpruefung erforderlich;Weru;Roto NT;2003;860;1174;Nein;Nein;0%;
F-0122;Verwaltungsgebäude Süd;Untergeschoss;Bibliothek;VGS-004;Pruefung abgeschlossen;Winkhaus;Maco Multi-Matic;1995;1024;2017;Nein;Nein;100%;erheblicher Mangel
F-0123;Verwaltungsgebäude Süd;Untergeschoss;Bibliothek;VGS-004;freigegeben;Siegenia-Aubi;Roto NT;2015;739;1886;Nein;Nein;100%;
F-0124;Verwaltungsgebäude Süd;Untergeschoss;Druckerraum;VGS-005;nicht begonnen;Winkhaus;Maco Multi-Matic;2005;789;1332;Nein;Nein;0%;
F-0125;Verwaltungsgebäude Süd;Untergeschoss;Druckerraum;VGS-005;Spezialpruefung erforderlich;Weru;Schüco AvanTec;2015;896;809;Nein;Nein;0%;
F-0126;Verwaltungsgebäude Süd;Untergeschoss;Besprechungsraum;VGS-006;in Bearbeitung;Maco;Maco Multi-Matic;2010;1846;861;Nein;Nein;71%;
F-0127;Verwaltungsgebäude Süd;Untergeschoss;Besprechungsraum;VGS-006;nicht begonnen;Weru;Schüco AvanTec;1985;1345;1496;Ja;Nein;0%;
F-0128;Verwaltungsgebäude Süd;Untergeschoss;Büro;VGS-007;freigegeben;Maco;Roto NT;2000;2070;1387;Nein;Nein;100%;
F-0129;Verwaltungsgebäude Süd;Untergeschoss;Archiv;VGS-008;nicht zugaenglich;Weru;Maco Multi-Matic;1990;1852;868;Nein;Nein;0%;
F-0130;Verwaltungsgebäude Süd;Untergeschoss;Archiv;VGS-008;nicht begonnen;Weru;Siegenia Titan AF;2000;2243;868;Nein;Nein;0%;
F-0131;Verwaltungsgebäude Süd;Untergeschoss;Archiv;VGS-008;Spezialpruefung erforderlich;Maco;Siegenia Titan AF;2008;2273;1083;Nein;Nein;0%;
F-0132;Verwaltungsgebäude Süd;Untergeschoss;Empfang;VGS-009;freigegeben;GU (Gretsch-Unitas);Winkhaus activPilot;2020;1944;1638;Nein;Nein;100%;Austausch empfohlen
F-0133;Verwaltungsgebäude Süd;Untergeschoss;Büro;VGS-010;Spezialpruefung erforderlich;Maco;Winkhaus activPilot;1985;1141;1684;Nein;Nein;0%;
F-0134;Verwaltungsgebäude Süd;Untergeschoss;Büro;VGS-010;Spezialpruefung erforderlich;Winkhaus;Maco Multi-Matic;2000;614;1928;Nein;Nein;0%;
F-0135;Verwaltungsgebäude Süd;Untergeschoss;Büro;VGS-010;Spezialpruefung erforderlich;Roto Frank;Roto NT;2012;2133;1755;Nein;Nein;0%;
F-0136;Verwaltungsgebäude Süd;Untergeschoss;Flur;VGS-011;nicht zugaenglich;Siegenia-Aubi;Roto NT;1998;1481;1936;Nein;Nein;0%;
F-0137;Verwaltungsgebäude Süd;Untergeschoss;Flur;VGS-011;in Bearbeitung;Winkhaus;Siegenia Titan AF;2018;1153;2162;Nein;Nein;66%;
F-0138;Verwaltungsgebäude Süd;Untergeschoss;Flur;VGS-011;Spezialpruefung erforderlich;Schüco;Maco Multi-Matic;1985;1280;890;Nein;Nein;0%;
F-0139;Verwaltungsgebäude Süd;Untergeschoss;Büro;VGS-012;Spezialpruefung erforderlich;Siegenia-Aubi;Roto NX;1990;1856;1238;Nein;Nein;0%;
F-0140;Verwaltungsgebäude Süd;Untergeschoss;Büro;VGS-012;in Bearbeitung;Siegenia-Aubi;GU UNI-JET;2015;877;1851;Nein;Nein;25%;
F-0141;Verwaltungsgebäude Süd;Erdgeschoss;Teeküche;VGS-101;freigegeben;GU (Gretsch-Unitas);Roto NX;2008;2196;1528;Nein;Nein;100%;erheblicher Mangel
F-0142;Verwaltungsgebäude Süd;Erdgeschoss;Teeküche;VGS-101;freigegeben;Weru;Roto NT;1990;1506;1932;Nein;Nein;100%;geringfügiger Mangel
F-0143;Verwaltungsgebäude Süd;Erdgeschoss;Teeküche;VGS-101;Spezialpruefung erforderlich;Winkhaus;Roto NX;1992;1695;1061;Nein;Nein;0%;
F-0144;Verwaltungsgebäude Süd;Erdgeschoss;Teeküche;VGS-101;nicht begonnen;GU (Gretsch-Unitas);Roto NT;1985;1726;864;Nein;Nein;0%;
F-0145;Verwaltungsgebäude Süd;Erdgeschoss;Serverraum;VGS-102;fachlich geprueft;Maco;Siegenia Titan AF;1995;2177;1339;Nein;Nein;100%;geringfügiger Mangel
F-0146;Verwaltungsgebäude Süd;Erdgeschoss;Flur;VGS-104;in Bearbeitung;Roto Frank;Roto NX;2003;1206;1056;Nein;Nein;48%;
F-0147;Verwaltungsgebäude Süd;Erdgeschoss;Flur;VGS-104;Spezialpruefung erforderlich;Weru;Maco Multi-Matic;2008;967;1676;Nein;Nein;0%;
F-0148;Verwaltungsgebäude Süd;Erdgeschoss;Flur;VGS-104;fachlich geprueft;Siegenia-Aubi;Roto NX;2005;831;802;Nein;Nein;100%;ohne Beanstandung
F-0149;Verwaltungsgebäude Süd;Erdgeschoss;Flur;VGS-104;nicht zugaenglich;Maco;Schüco AvanTec;2008;705;1905;Ja;Nein;0%;
F-0150;Verwaltungsgebäude Süd;Erdgeschoss;Flur;VGS-104;fachlich geprueft;GU (Gretsch-Unitas);Roto NX;2008;1978;1656;Nein;Nein;100%;Gefahr im Verzug
F-0151;Verwaltungsgebäude Süd;Erdgeschoss;Flur;VGS-104;Spezialpruefung erforderlich;Roto Frank;Siegenia Titan AF;2010;1984;1700;Nein;Nein;0%;
F-0152;Verwaltungsgebäude Süd;Erdgeschoss;Flur;VGS-104;Pruefung abgeschlossen;Roto Frank;Siegenia Titan AF;2020;1302;1312;Nein;Nein;100%;geringfügiger Mangel
